id,mes,ano,bairro,morador,casa,lat_campo,lon_campo,point_id,point_year_id,distancia_casa_mata,lta,area,tipo,local,especie,total,femeas,machos,dout_mest
337,01/11/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_isca_humana,L. intermedia,5,5,0,mestrado
338,01/11/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_isca_humana,L. fischeri,2,2,0,mestrado
339,01/11/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_isca_humana,L. monticola,1,1,0,mestrado
340,01/11/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,luminosa,floresta_tronco,L. migonei,1,1,0,mestrado
341,01/12/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,intra_isca_humana,L. intermedia,14,13,1,mestrado
342,01/12/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_interna,L. intermedia,423,287,136,mestrado
343,01/12/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_interna,L. migonei,10,2,8,mestrado
344,01/12/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_interna,L. fischeri,9,6,3,mestrado
345,01/12/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,peri_isca_humana,L. intermedia,19,19,0,mestrado
346,01/12/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,luminosa,tronco,L. intermedia,87,37,50,mestrado
347,01/12/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,luminosa,tronco,L. migonei,9,3,6,mestrado
348,01/12/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,luminosa,tronco,L. fischeri,1,0,1,mestrado
349,01/12/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_externa,L. intermedia,319,167,152,mestrado
350,01/12/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_externa,L. migonei,8,1,7,mestrado
351,01/12/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_externa,L. fischeri,10,10,0,mestrado
352,01/12/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_externa,L. whitmani,1,1,0,mestrado
353,01/12/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_isca_humana,L. intermedia,7,7,0,mestrado
354,01/12/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_tronco,L. intermedia,147,35,112,mestrado
355,01/12/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_tronco,L. migonei,2,0,2,mestrado
356,01/12/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_tronco,L. fischeri,2,2,0,mestrado
357,01/12/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,luminosa,bananal_tronco,L. intermedia,159,66,93,mestrado
358,01/12/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,luminosa,bananal_tronco,L. migonei,2,1,1,mestrado
359,01/01/1993,1993,Cascata,Valverde,,-22.60384,-43.71932,22,22_1993,0-200,,,luminosa,intra_teto,L. intermedia,727,268,459,mestrado
360,01/01/1993,1993,Cascata,Valverde,,-22.60384,-43.71932,22,22_1993,0-200,,,luminosa,intra_teto,L. migonei,46,9,37,mestrado
361,01/01/1993,1993,Cascata,Valverde,,-22.60384,-43.71932,22,22_1993,0-200,,,luminosa,intra_teto,L. fischeri,1,1,0,mestrado
362,01/01/1993,1993,Cascata,Valverde,,-22.60384,-43.71932,22,22_1993,0-200,,,manual,parede_interna,L. intermedia,134,51,83,mestrado
